COUNTRY_ID,COUNTRY_NAME,TYPE_ID,TYPE_NAME,NUMBER,QTY,TOKEN_ID,CAMISETA,POS,FULL_NAME,FIRST_NAME,LAST_NAME,SHIRT_NAME,DOB,CLUB,HEIGHT
1,Qatar,1,Home,1,5,1101,19,DC,Almoez Ali,Almoez Ali Zainelabdeen M,Abdulla,Almoez,19/8/1996,Al Duhail SC (QAT),180
1,Qatar,1,Home,2,11,1102,2,DF,Pedro Miguel,Pedro Miguel D D,Correia,Pedro,6/8/1990,Al Sadd SC (QAT),180
1,Qatar,1,Home,3,11,1103,3,MC,Abdelkarim Hassan,Abdelkarim Hassan A,Fadlalla,Abdelkarim,28/8/1993,Al Sadd SC (QAT),185
1,Qatar,1,Home,4,11,1104,4,DF,Mohammed Waad,Mohammed Waad A,Albayati,Waad,18/9/1999,Al Sadd SC (QAT),183
1,Qatar,1,Home,5,11,1105,5,DF,Tarek Salman,Tarek Salman S,Salman,Tarek,5/12/1997,Al Sadd SC (QAT),179
1,Qatar,1,Home,6,11,1106,6,MC,Abdulaziz Hatem,Abdelaziz Hatim A,Mohamed,A. Hatem,1/1/1990,Al Rayyan SC (QAT),182
1,Qatar,1,Home,7,11,1107,8,MC,Ali Asad,Ali Asadalla Q B,Thaimn,Ali,19/1/1993,Al Sadd SC (QAT),174
1,Qatar,1,Home,8,11,1108,10,MC,Hassan Alhaydos,Hasan Khalid H,Alhaydos,Alhaydos,11/12/1990,Al Sadd SC (QAT),174
1,Qatar,1,Home,9,11,1109,11,DC,Akram Afif,Akram Hassan A Y,Afif,Afif,18/11/1996,Al Sadd SC (QAT),176
1,Qatar,1,Home,10,11,1110,12,MC,Karim Boudiaf,Karim,Boudiaf,Boudiaf,16/9/1990,Al Duhail SC (QAT),190
1,Qatar,1,Home,11,11,1111,14,DF,Homam Ahmed,Homam Elamin M,Ahmed,Homam,25/8/1999,Al Gharafa SC (QAT),188
1,Qatar,1,Home,12,11,1112,15,DF,Bassam Alrawi,Bassam Husham A,Alrawi,Bassam,16/12/1997,Al Duhail SC (QAT),175
1,Qatar,1,Home,13,11,1113,16,DF,Boualem Khoukhi,Boualem,Khoukhi,Khoukhi,9/7/1990,Al Sadd SC (QAT),185
1,Qatar,1,Home,14,11,1114,17,DF,Ismail Mohamad,Ismail Mohamad M,B,Ismail M.,5/4/1990,Al Duhail SC (QAT),172
1,Qatar,1,Home,15,11,1115,7,DC,Ahmed Alaaeldin,Ahmed Alaaeldin B M,Abdelmotaal,Alaadin,31/1/1993,Al Gharafa SC (QAT),176
1,Qatar,1,Home,16,15,1116,9,DC,Mohammed Muntari,Mohammed,Muntari,Muntari,20/12/1993,Al Duhail SC (QAT),192
1,Qatar,1,Home,17,15,1117,13,DF,Musaab Khidir,Musaab Khidir K,Mohamed,Musaab,1/1/1993,Al Sadd SC (QAT),176
1,Qatar,1,Home,18,15,1118,18,DC,Khalid Muneer,Khalid Muneer A A,Mazeed,K. Muneer,24/2/1998,Al Wakrah SC (QAT),174
1,Qatar,1,Home,19,15,1119,20,MC,Salem Alhajri,Salem Ali S S,Al-Hajri,Salem,10/4/1996,Al Sadd SC (QAT),183
1,Qatar,1,Home,20,15,1120,23,MC,Assim Madibo,Assim Omer A,Madibo,Madibo,22/10/1996,Al Duhail SC (QAT),168
1,Qatar,1,Home,21,15,1121,24,MC,Naif Alhadhrami,Naif Abdulraheem O,Alhadhrami,Nayef,18/7/2001,Al Rayyan SC (QAT),180
1,Qatar,1,Home,22,15,1122,25,MC,Jassem Gaber,Jassem Gaber E,Abdulsallam,Jassem,20/2/2002,Al Arabi SC (QAT),182
1,Qatar,1,Home,23,15,1123,26,MC,Moustafa Tarek,Moustafa Tarek M M,Mashal,Mustafa,28/3/2001,Al Sadd SC (QAT),174
1,Qatar,2,Away,1,7,1201,19,DC,Almoez Ali,Almoez Ali Zainelabdeen M,Abdulla,Almoez,19/8/1996,Al Duhail SC (QAT),180
1,Qatar,2,Away,2,16,1202,2,DF,Pedro Miguel,Pedro Miguel D D,Correia,Pedro,6/8/1990,Al Sadd SC (QAT),180
1,Qatar,2,Away,3,16,1203,3,MC,Abdelkarim Hassan,Abdelkarim Hassan A,Fadlalla,Abdelkarim,28/8/1993,Al Sadd SC (QAT),185
1,Qatar,2,Away,4,16,1204,4,DF,Mohammed Waad,Mohammed Waad A,Albayati,Waad,18/9/1999,Al Sadd SC (QAT),183
1,Qatar,2,Away,5,16,1205,5,DF,Tarek Salman,Tarek Salman S,Salman,Tarek,5/12/1997,Al Sadd SC (QAT),179
1,Qatar,2,Away,6,16,1206,6,MC,Abdulaziz Hatem,Abdelaziz Hatim A,Mohamed,A. Hatem,1/1/1990,Al Rayyan SC (QAT),182
1,Qatar,2,Away,7,16,1207,8,MC,Ali Asad,Ali Asadalla Q B,Thaimn,Ali,19/1/1993,Al Sadd SC (QAT),174
1,Qatar,2,Away,8,16,1208,10,MC,Hassan Alhaydos,Hasan Khalid H,Alhaydos,Alhaydos,11/12/1990,Al Sadd SC (QAT),174
1,Qatar,2,Away,9,16,1209,11,DC,Akram Afif,Akram Hassan A Y,Afif,Afif,18/11/1996,Al Sadd SC (QAT),176
1,Qatar,2,Away,10,16,1210,12,MC,Karim Boudiaf,Karim,Boudiaf,Boudiaf,16/9/1990,Al Duhail SC (QAT),190
1,Qatar,2,Away,11,16,1211,14,DF,Homam Ahmed,Homam Elamin M,Ahmed,Homam,25/8/1999,Al Gharafa SC (QAT),188
1,Qatar,2,Away,12,16,1212,15,DF,Bassam Alrawi,Bassam Husham A,Alrawi,Bassam,16/12/1997,Al Duhail SC (QAT),175
1,Qatar,2,Away,13,16,1213,16,DF,Boualem Khoukhi,Boualem,Khoukhi,Khoukhi,9/7/1990,Al Sadd SC (QAT),185
1,Qatar,2,Away,14,16,1214,17,DF,Ismail Mohamad,Ismail Mohamad M,B,Ismail M.,5/4/1990,Al Duhail SC (QAT),172
1,Qatar,2,Away,15,16,1215,7,DC,Ahmed Alaaeldin,Ahmed Alaaeldin B M,Abdelmotaal,Alaadin,31/1/1993,Al Gharafa SC (QAT),176
1,Qatar,2,Away,16,22,1216,9,DC,Mohammed Muntari,Mohammed,Muntari,Muntari,20/12/1993,Al Duhail SC (QAT),192
1,Qatar,2,Away,17,22,1217,13,DF,Musaab Khidir,Musaab Khidir K,Mohamed,Musaab,1/1/1993,Al Sadd SC (QAT),176
1,Qatar,2,Away,18,22,1218,18,DC,Khalid Muneer,Khalid Muneer A A,Mazeed,K. Muneer,24/2/1998,Al Wakrah SC (QAT),174
1,Qatar,2,Away,19,22,1219,20,MC,Salem Alhajri,Salem Ali S S,Al-Hajri,Salem,10/4/1996,Al Sadd SC (QAT),183
1,Qatar,2,Away,20,22,1220,23,MC,Assim Madibo,Assim Omer A,Madibo,Madibo,22/10/1996,Al Duhail SC (QAT),168
1,Qatar,2,Away,21,22,1221,24,MC,Naif Alhadhrami,Naif Abdulraheem O,Alhadhrami,Nayef,18/7/2001,Al Rayyan SC (QAT),180
1,Qatar,2,Away,22,22,1222,25,MC,Jassem Gaber,Jassem Gaber E,Abdulsallam,Jassem,20/2/2002,Al Arabi SC (QAT),182
